Disease,Doctor Name,Specialization,Hospital,Experience,Phone Number,Rating,Availability Time
Fungal infection,Dr. Rajesh Sharma,Orthopedic,Fortis Hospital,10 years,+91 3210987654,4.9,6:00 PM - 9:00 PM
Fungal infection,Dr. Vikram Patel,Neurologist,Narayana Health,12 years,+91 4321098765,4.9,9:00 AM - 12:00 PM
Fungal infection,Dr. Anjali Mehta,Orthopedic,Fortis Hospital,18 years,+91 5432109876,4.2,10:00 AM - 1:00 PM
Fungal infection,Dr. Priya Nair,ENT Specialist,Manipal Hospital,8 years,+91 5432109876,3.8,10:00 AM - 1:00 PM
Fungal infection,Dr. Sanjay Verma,Dermatologist,Manipal Hospital,15 years,+91 8765432109,4.5,6:00 PM - 9:00 PM
Fungal infection,Dr. Priya Nair,Gastroenterologist,Manipal Hospital,10 years,+91 9876543210,5.0,2:00 PM - 5:00 PM
Fungal infection,Dr. Vikram Patel,Orthopedic,Fortis Hospital,15 years,+91 6543210987,4.7,2:00 PM - 5:00 PM
Fungal infection,Dr. Neha Kapoor,Gastroenterologist,Tata Memorial Hospital,10 years,+91 8765432109,4.9,6:00 PM - 9:00 PM
Fungal infection,Dr. Vikram Patel,Orthopedic,Tata Memorial Hospital,5 years,+91 4321098765,3.5,6:00 PM - 9:00 PM
Fungal infection,Dr. Anjali Mehta,Cardiologist,Max Healthcare,18 years,+91 2109876543,5.0,6:00 PM - 9:00 PM
Allergy,Dr. Ramesh Iyer,Orthopedic,Medanta,18 years,+91 4321098765,3.5,9:00 AM - 12:00 PM
Allergy,Dr. Priya Nair,Dermatologist,Tata Memorial Hospital,15 years,+91 9876543210,3.8,10:00 AM - 1:00 PM
Allergy,Dr. Sunita Rao,Neurologist,Fortis Hospital,18 years,+91 4321098765,3.5,8:00 AM - 11:00 AM
Allergy,Dr. Priya Nair,Gastroenterologist,Tata Memorial Hospital,20 years,+91 3210987654,4.0,8:00 AM - 11:00 AM
Allergy,Dr. Anjali Mehta,Orthopedic,Tata Memorial Hospital,25 years,+91 3210987654,4.0,9:00 AM - 12:00 PM
Allergy,Dr. Sanjay Verma,Dermatologist,Medanta,10 years,+91 5432109876,4.9,6:00 PM - 9:00 PM
Allergy,Dr. Rajesh Sharma,Dermatologist,Fortis Hospital,15 years,+91 2109876543,4.0,2:00 PM - 5:00 PM
Allergy,Dr. Rajesh Sharma,Endocrinologist,Medanta,25 years,+91 6543210987,5.0,2:00 PM - 5:00 PM
Allergy,Dr. Anjali Mehta,Gastroenterologist,Medanta,25 years,+91 4321098765,3.5,6:00 PM - 9:00 PM
Allergy,Dr. Anjali Mehta,Endocrinologist,Max Healthcare,12 years,+91 3210987654,4.7,9:00 AM - 12:00 PM
GERD,Dr. Ramesh Iyer,Neurologist,Medanta,25 years,+91 4321098765,4.2,2:00 PM - 5:00 PM
GERD,Dr. Sanjay Verma,Pulmonologist,Tata Memorial Hospital,12 years,+91 3210987654,4.2,2:00 PM - 5:00 PM
GERD,Dr. Neha Kapoor,Orthopedic,Max Healthcare,15 years,+91 8765432109,5.0,6:00 PM - 9:00 PM
GERD,Dr. Rajesh Sharma,Neurologist,Manipal Hospital,10 years,+91 9876543210,4.7,10:00 AM - 1:00 PM
GERD,Dr. Ramesh Iyer,Dermatologist,Tata Memorial Hospital,25 years,+91 5432109876,4.7,4:00 PM - 7:00 PM
GERD,Dr. Priya Nair,Endocrinologist,Max Healthcare,15 years,+91 9876543210,4.2,10:00 AM - 1:00 PM
GERD,Dr. Vikram Patel,Dermatologist,Manipal Hospital,8 years,+91 9876543210,4.0,10:00 AM - 1:00 PM
GERD,Dr. Priya Nair,Cardiologist,Tata Memorial Hospital,25 years,+91 6543210987,4.0,9:00 AM - 12:00 PM
GERD,Dr. Sunita Rao,Neurologist,Manipal Hospital,20 years,+91 8765432109,4.0,10:00 AM - 1:00 PM
GERD,Dr. Sunita Rao,Dermatologist,AIIMS Delhi,5 years,+91 9876543210,4.0,2:00 PM - 5:00 PM
Chronic cholestasis,Dr. Anjali Mehta,Pulmonologist,Apollo Hospital,18 years,+91 3210987654,3.8,4:00 PM - 7:00 PM
Chronic cholestasis,Dr. Ramesh Iyer,Dermatologist,Narayana Health,5 years,+91 6543210987,5.0,6:00 PM - 9:00 PM
Chronic cholestasis,Dr. Anjali Mehta,Pulmonologist,Max Healthcare,18 years,+91 4321098765,4.9,6:00 PM - 9:00 PM
Chronic cholestasis,Dr. Sunita Rao,Neurologist,Narayana Health,5 years,+91 7654321098,3.5,8:00 AM - 11:00 AM
Chronic cholestasis,Dr. Vikram Patel,Neurologist,Fortis Hospital,25 years,+91 6543210987,5.0,4:00 PM - 7:00 PM
Chronic cholestasis,Dr. Ramesh Iyer,Orthopedic,Max Healthcare,18 years,+91 3210987654,3.8,10:00 AM - 1:00 PM
Chronic cholestasis,Dr. Sunita Rao,Endocrinologist,Max Healthcare,20 years,+91 2109876543,4.2,8:00 AM - 11:00 AM
Chronic cholestasis,Dr. Sunita Rao,Gastroenterologist,Apollo Hospital,20 years,+91 9876543210,4.2,6:00 PM - 9:00 PM
Chronic cholestasis,Dr. Anjali Mehta,Dermatologist,AIIMS Delhi,5 years,+91 2109876543,4.5,9:00 AM - 12:00 PM
Chronic cholestasis,Dr. Rajesh Sharma,Neurologist,Medanta,8 years,+91 2109876543,4.9,2:00 PM - 5:00 PM
Drug Reaction,Dr. Neha Kapoor,Orthopedic,Manipal Hospital,15 years,+91 7654321098,4.0,2:00 PM - 5:00 PM
Drug Reaction,Dr. Rajesh Sharma,ENT Specialist,Apollo Hospital,5 years,+91 3210987654,4.7,8:00 AM - 11:00 AM
Drug Reaction,Dr. Priya Nair,Pulmonologist,Narayana Health,12 years,+91 6543210987,4.7,2:00 PM - 5:00 PM
Drug Reaction,Dr. Sunita Rao,ENT Specialist,Fortis Hospital,25 years,+91 6543210987,3.5,8:00 AM - 11:00 AM
Drug Reaction,Dr. Priya Nair,ENT Specialist,Manipal Hospital,8 years,+91 7654321098,4.7,9:00 AM - 12:00 PM
Drug Reaction,Dr. Sanjay Verma,General Physician,Fortis Hospital,20 years,+91 6543210987,3.5,8:00 AM - 11:00 AM
Drug Reaction,Dr. Sanjay Verma,ENT Specialist,Manipal Hospital,18 years,+91 4321098765,5.0,9:00 AM - 12:00 PM
Drug Reaction,Dr. Sanjay Verma,Pulmonologist,Narayana Health,5 years,+91 7654321098,4.5,10:00 AM - 1:00 PM
Drug Reaction,Dr. Sanjay Verma,Orthopedic,Manipal Hospital,15 years,+91 3210987654,4.5,9:00 AM - 12:00 PM
Drug Reaction,Dr. Sanjay Verma,Dermatologist,Apollo Hospital,25 years,+91 5432109876,4.5,4:00 PM - 7:00 PM
Peptic ulcer diseae,Dr. Rajesh Sharma,Dermatologist,Manipal Hospital,18 years,+91 4321098765,3.5,6:00 PM - 9:00 PM
Peptic ulcer diseae,Dr. Neha Kapoor,Dermatologist,Fortis Hospital,5 years,+91 9876543210,3.5,9:00 AM - 12:00 PM
Peptic ulcer diseae,Dr. Ramesh Iyer,Gastroenterologist,Medanta,18 years,+91 2109876543,4.2,8:00 AM - 11:00 AM
Peptic ulcer diseae,Dr. Sanjay Verma,Cardiologist,Max Healthcare,20 years,+91 4321098765,4.9,6:00 PM - 9:00 PM
Peptic ulcer diseae,Dr. Neha Kapoor,Cardiologist,Apollo Hospital,10 years,+91 9876543210,4.9,4:00 PM - 7:00 PM
Peptic ulcer diseae,Dr. Ramesh Iyer,ENT Specialist,Max Healthcare,25 years,+91 5432109876,5.0,9:00 AM - 12:00 PM
Peptic ulcer diseae,Dr. Neha Kapoor,Orthopedic,Manipal Hospital,10 years,+91 7654321098,3.5,10:00 AM - 1:00 PM
Peptic ulcer diseae,Dr. Vikram Patel,ENT Specialist,AIIMS Delhi,25 years,+91 5432109876,5.0,9:00 AM - 12:00 PM
Peptic ulcer diseae,Dr. Rajesh Sharma,ENT Specialist,AIIMS Delhi,15 years,+91 6543210987,4.9,10:00 AM - 1:00 PM
Peptic ulcer diseae,Dr. Neha Kapoor,General Physician,Manipal Hospital,8 years,+91 6543210987,4.9,10:00 AM - 1:00 PM
AIDS,Dr. Sunita Rao,Orthopedic,Medanta,12 years,+91 2109876543,4.7,10:00 AM - 1:00 PM
AIDS,Dr. Rajesh Sharma,Orthopedic,Tata Memorial Hospital,8 years,+91 7654321098,5.0,4:00 PM - 7:00 PM
AIDS,Dr. Anjali Mehta,Gastroenterologist,Medanta,5 years,+91 3210987654,4.9,2:00 PM - 5:00 PM
AIDS,Dr. Ramesh Iyer,Pulmonologist,Tata Memorial Hospital,12 years,+91 3210987654,4.0,6:00 PM - 9:00 PM
AIDS,Dr. Neha Kapoor,Orthopedic,Tata Memorial Hospital,15 years,+91 7654321098,4.7,10:00 AM - 1:00 PM
AIDS,Dr. Rajesh Sharma,Pulmonologist,Fortis Hospital,10 years,+91 2109876543,3.8,8:00 AM - 11:00 AM
AIDS,Dr. Rajesh Sharma,General Physician,Fortis Hospital,25 years,+91 4321098765,4.0,8:00 AM - 11:00 AM
AIDS,Dr. Priya Nair,Endocrinologist,AIIMS Delhi,5 years,+91 7654321098,5.0,6:00 PM - 9:00 PM
AIDS,Dr. Anjali Mehta,Cardiologist,Narayana Health,12 years,+91 5432109876,3.8,10:00 AM - 1:00 PM
AIDS,Dr. Anjali Mehta,Neurologist,Medanta,12 years,+91 4321098765,4.0,4:00 PM - 7:00 PM
Diabetes ,Dr. Priya Nair,Dermatologist,Fortis Hospital,8 years,+91 9876543210,4.2,10:00 AM - 1:00 PM
Diabetes ,Dr. Anjali Mehta,ENT Specialist,Narayana Health,5 years,+91 4321098765,4.2,9:00 AM - 12:00 PM
Diabetes ,Dr. Rajesh Sharma,Endocrinologist,Medanta,12 years,+91 7654321098,4.2,10:00 AM - 1:00 PM
Diabetes ,Dr. Sanjay Verma,General Physician,Manipal Hospital,15 years,+91 5432109876,4.5,8:00 AM - 11:00 AM
Diabetes ,Dr. Priya Nair,Gastroenterologist,Apollo Hospital,5 years,+91 3210987654,3.8,8:00 AM - 11:00 AM
Diabetes ,Dr. Sunita Rao,Dermatologist,Medanta,8 years,+91 3210987654,4.7,2:00 PM - 5:00 PM
Diabetes ,Dr. Sanjay Verma,Gastroenterologist,Manipal Hospital,15 years,+91 4321098765,5.0,8:00 AM - 11:00 AM
Diabetes ,Dr. Rajesh Sharma,ENT Specialist,Manipal Hospital,15 years,+91 5432109876,3.5,9:00 AM - 12:00 PM
Diabetes ,Dr. Priya Nair,Dermatologist,Apollo Hospital,18 years,+91 9876543210,4.0,10:00 AM - 1:00 PM
Diabetes ,Dr. Priya Nair,Dermatologist,Max Healthcare,20 years,+91 9876543210,3.8,10:00 AM - 1:00 PM
Gastroenteritis,Dr. Sunita Rao,Neurologist,Narayana Health,10 years,+91 4321098765,3.8,9:00 AM - 12:00 PM
Gastroenteritis,Dr. Rajesh Sharma,Neurologist,Max Healthcare,18 years,+91 6543210987,4.5,9:00 AM - 12:00 PM
Gastroenteritis,Dr. Vikram Patel,Pulmonologist,Max Healthcare,20 years,+91 2109876543,4.2,8:00 AM - 11:00 AM
Gastroenteritis,Dr. Rajesh Sharma,Cardiologist,Fortis Hospital,8 years,+91 5432109876,5.0,8:00 AM - 11:00 AM
Gastroenteritis,Dr. Sanjay Verma,Orthopedic,Tata Memorial Hospital,10 years,+91 5432109876,3.5,10:00 AM - 1:00 PM
Gastroenteritis,Dr. Rajesh Sharma,Cardiologist,AIIMS Delhi,8 years,+91 9876543210,5.0,10:00 AM - 1:00 PM
Gastroenteritis,Dr. Vikram Patel,ENT Specialist,Fortis Hospital,12 years,+91 4321098765,4.9,6:00 PM - 9:00 PM
Gastroenteritis,Dr. Neha Kapoor,Gastroenterologist,Medanta,12 years,+91 2109876543,4.5,10:00 AM - 1:00 PM
Gastroenteritis,Dr. Ramesh Iyer,Pulmonologist,Narayana Health,18 years,+91 9876543210,4.2,8:00 AM - 11:00 AM
Gastroenteritis,Dr. Neha Kapoor,General Physician,AIIMS Delhi,15 years,+91 9876543210,4.5,10:00 AM - 1:00 PM
Bronchial Asthma,Dr. Ramesh Iyer,Pulmonologist,Narayana Health,10 years,+91 8765432109,5.0,6:00 PM - 9:00 PM
Bronchial Asthma,Dr. Vikram Patel,General Physician,Max Healthcare,5 years,+91 4321098765,4.7,4:00 PM - 7:00 PM
Bronchial Asthma,Dr. Ramesh Iyer,ENT Specialist,Fortis Hospital,18 years,+91 5432109876,4.7,9:00 AM - 12:00 PM
Bronchial Asthma,Dr. Priya Nair,Cardiologist,Max Healthcare,12 years,+91 8765432109,4.7,2:00 PM - 5:00 PM
Bronchial Asthma,Dr. Vikram Patel,Dermatologist,Apollo Hospital,18 years,+91 5432109876,4.0,4:00 PM - 7:00 PM
Bronchial Asthma,Dr. Anjali Mehta,Dermatologist,AIIMS Delhi,12 years,+91 4321098765,4.0,2:00 PM - 5:00 PM
Bronchial Asthma,Dr. Ramesh Iyer,Pulmonologist,Max Healthcare,12 years,+91 4321098765,5.0,8:00 AM - 11:00 AM
Bronchial Asthma,Dr. Rajesh Sharma,Cardiologist,Narayana Health,20 years,+91 6543210987,4.9,10:00 AM - 1:00 PM
Bronchial Asthma,Dr. Ramesh Iyer,Gastroenterologist,Apollo Hospital,18 years,+91 4321098765,5.0,6:00 PM - 9:00 PM
Bronchial Asthma,Dr. Neha Kapoor,Orthopedic,Apollo Hospital,20 years,+91 8765432109,3.5,8:00 AM - 11:00 AM
Hypertension ,Dr. Sanjay Verma,Endocrinologist,Manipal Hospital,15 years,+91 8765432109,4.7,9:00 AM - 12:00 PM
Hypertension ,Dr. Rajesh Sharma,Endocrinologist,Medanta,8 years,+91 9876543210,3.8,4:00 PM - 7:00 PM
Hypertension ,Dr. Neha Kapoor,General Physician,Narayana Health,10 years,+91 7654321098,4.0,9:00 AM - 12:00 PM
Hypertension ,Dr. Priya Nair,Endocrinologist,Max Healthcare,12 years,+91 8765432109,3.8,10:00 AM - 1:00 PM
Hypertension ,Dr. Vikram Patel,General Physician,Max Healthcare,18 years,+91 8765432109,5.0,2:00 PM - 5:00 PM
Hypertension ,Dr. Vikram Patel,Orthopedic,Tata Memorial Hospital,8 years,+91 8765432109,5.0,4:00 PM - 7:00 PM
Hypertension ,Dr. Neha Kapoor,Dermatologist,Fortis Hospital,8 years,+91 8765432109,5.0,9:00 AM - 12:00 PM
Hypertension ,Dr. Sunita Rao,Cardiologist,Tata Memorial Hospital,25 years,+91 5432109876,4.5,6:00 PM - 9:00 PM
Hypertension ,Dr. Priya Nair,Neurologist,AIIMS Delhi,12 years,+91 6543210987,3.5,10:00 AM - 1:00 PM
Hypertension ,Dr. Priya Nair,Dermatologist,Max Healthcare,25 years,+91 8765432109,5.0,6:00 PM - 9:00 PM
Migraine,Dr. Anjali Mehta,Gastroenterologist,Tata Memorial Hospital,20 years,+91 6543210987,4.0,9:00 AM - 12:00 PM
Migraine,Dr. Neha Kapoor,Pulmonologist,Apollo Hospital,12 years,+91 4321098765,4.9,10:00 AM - 1:00 PM
Migraine,Dr. Anjali Mehta,ENT Specialist,Tata Memorial Hospital,20 years,+91 4321098765,4.5,9:00 AM - 12:00 PM
Migraine,Dr. Sanjay Verma,Gastroenterologist,Max Healthcare,5 years,+91 5432109876,3.5,2:00 PM - 5:00 PM
Migraine,Dr. Rajesh Sharma,Neurologist,Manipal Hospital,25 years,+91 7654321098,4.9,4:00 PM - 7:00 PM
Migraine,Dr. Anjali Mehta,Orthopedic,Tata Memorial Hospital,20 years,+91 6543210987,3.5,8:00 AM - 11:00 AM
Migraine,Dr. Rajesh Sharma,Endocrinologist,Manipal Hospital,20 years,+91 2109876543,3.8,9:00 AM - 12:00 PM
Migraine,Dr. Anjali Mehta,General Physician,Medanta,15 years,+91 6543210987,4.7,10:00 AM - 1:00 PM
Migraine,Dr. Rajesh Sharma,Endocrinologist,Medanta,15 years,+91 7654321098,4.9,2:00 PM - 5:00 PM
Migraine,Dr. Sunita Rao,Orthopedic,Narayana Health,8 years,+91 9876543210,4.0,4:00 PM - 7:00 PM
Cervical spondylosis,Dr. Priya Nair,Orthopedic,Tata Memorial Hospital,18 years,+91 2109876543,5.0,6:00 PM - 9:00 PM
Cervical spondylosis,Dr. Anjali Mehta,Endocrinologist,Max Healthcare,5 years,+91 6543210987,4.2,4:00 PM - 7:00 PM
Cervical spondylosis,Dr. Vikram Patel,Orthopedic,AIIMS Delhi,25 years,+91 7654321098,4.0,2:00 PM - 5:00 PM
Cervical spondylosis,Dr. Neha Kapoor,Neurologist,Manipal Hospital,5 years,+91 6543210987,4.2,10:00 AM - 1:00 PM
Cervical spondylosis,Dr. Vikram Patel,Endocrinologist,Max Healthcare,15 years,+91 7654321098,4.9,4:00 PM - 7:00 PM
Cervical spondylosis,Dr. Vikram Patel,Neurologist,Manipal Hospital,20 years,+91 5432109876,4.7,8:00 AM - 11:00 AM
Cervical spondylosis,Dr. Neha Kapoor,Neurologist,Apollo Hospital,15 years,+91 8765432109,4.5,2:00 PM - 5:00 PM
Cervical spondylosis,Dr. Priya Nair,Cardiologist,Medanta,10 years,+91 3210987654,4.0,8:00 AM - 11:00 AM
Cervical spondylosis,Dr. Sunita Rao,Endocrinologist,Max Healthcare,5 years,+91 7654321098,4.7,10:00 AM - 1:00 PM
Cervical spondylosis,Dr. Ramesh Iyer,Gastroenterologist,Narayana Health,20 years,+91 5432109876,4.9,10:00 AM - 1:00 PM
Paralysis (brain hemorrhage),Dr. Ramesh Iyer,ENT Specialist,Tata Memorial Hospital,15 years,+91 7654321098,4.7,6:00 PM - 9:00 PM
Paralysis (brain hemorrhage),Dr. Anjali Mehta,ENT Specialist,Medanta,25 years,+91 8765432109,3.5,4:00 PM - 7:00 PM
Paralysis (brain hemorrhage),Dr. Anjali Mehta,ENT Specialist,Narayana Health,18 years,+91 7654321098,4.2,2:00 PM - 5:00 PM
Paralysis (brain hemorrhage),Dr. Sanjay Verma,Neurologist,Narayana Health,18 years,+91 9876543210,3.5,8:00 AM - 11:00 AM
Paralysis (brain hemorrhage),Dr. Sanjay Verma,Cardiologist,Fortis Hospital,5 years,+91 9876543210,4.0,2:00 PM - 5:00 PM
Paralysis (brain hemorrhage),Dr. Priya Nair,Orthopedic,Fortis Hospital,8 years,+91 5432109876,3.5,6:00 PM - 9:00 PM
Paralysis (brain hemorrhage),Dr. Anjali Mehta,Orthopedic,Max Healthcare,10 years,+91 5432109876,3.8,9:00 AM - 12:00 PM
Paralysis (brain hemorrhage),Dr. Sunita Rao,Cardiologist,Tata Memorial Hospital,20 years,+91 6543210987,3.5,9:00 AM - 12:00 PM
Paralysis (brain hemorrhage),Dr. Sunita Rao,Cardiologist,Manipal Hospital,20 years,+91 6543210987,3.5,6:00 PM - 9:00 PM
Paralysis (brain hemorrhage),Dr. Ramesh Iyer,ENT Specialist,Fortis Hospital,15 years,+91 5432109876,4.9,6:00 PM - 9:00 PM
Jaundice,Dr. Anjali Mehta,Endocrinologist,Apollo Hospital,12 years,+91 7654321098,5.0,4:00 PM - 7:00 PM
Jaundice,Dr. Sunita Rao,Pulmonologist,Tata Memorial Hospital,18 years,+91 9876543210,4.9,9:00 AM - 12:00 PM
Jaundice,Dr. Sanjay Verma,Cardiologist,Tata Memorial Hospital,18 years,+91 5432109876,3.5,2:00 PM - 5:00 PM
Jaundice,Dr. Sunita Rao,Orthopedic,Apollo Hospital,18 years,+91 3210987654,4.5,4:00 PM - 7:00 PM
Jaundice,Dr. Rajesh Sharma,Endocrinologist,Narayana Health,12 years,+91 8765432109,4.5,8:00 AM - 11:00 AM
Jaundice,Dr. Anjali Mehta,Neurologist,AIIMS Delhi,12 years,+91 4321098765,4.7,9:00 AM - 12:00 PM
Jaundice,Dr. Sunita Rao,General Physician,Tata Memorial Hospital,25 years,+91 6543210987,4.2,10:00 AM - 1:00 PM
Jaundice,Dr. Neha Kapoor,Endocrinologist,Manipal Hospital,18 years,+91 2109876543,4.5,6:00 PM - 9:00 PM
Jaundice,Dr. Rajesh Sharma,General Physician,Max Healthcare,5 years,+91 4321098765,4.7,10:00 AM - 1:00 PM
Jaundice,Dr. Sanjay Verma,ENT Specialist,Max Healthcare,25 years,+91 3210987654,4.0,10:00 AM - 1:00 PM
Malaria,Dr. Ramesh Iyer,Cardiologist,Medanta,20 years,+91 3210987654,4.9,9:00 AM - 12:00 PM
Malaria,Dr. Rajesh Sharma,Endocrinologist,Medanta,20 years,+91 6543210987,3.5,2:00 PM - 5:00 PM
Malaria,Dr. Sanjay Verma,Orthopedic,Narayana Health,18 years,+91 5432109876,4.9,9:00 AM - 12:00 PM
Malaria,Dr. Neha Kapoor,Gastroenterologist,Narayana Health,20 years,+91 9876543210,3.8,10:00 AM - 1:00 PM
Malaria,Dr. Priya Nair,ENT Specialist,Max Healthcare,10 years,+91 6543210987,4.5,10:00 AM - 1:00 PM
Malaria,Dr. Sunita Rao,Pulmonologist,Tata Memorial Hospital,25 years,+91 4321098765,4.9,6:00 PM - 9:00 PM
Malaria,Dr. Neha Kapoor,Endocrinologist,AIIMS Delhi,5 years,+91 8765432109,3.5,4:00 PM - 7:00 PM
Malaria,Dr. Priya Nair,Gastroenterologist,Medanta,8 years,+91 2109876543,4.5,8:00 AM - 11:00 AM
Malaria,Dr. Neha Kapoor,ENT Specialist,Max Healthcare,12 years,+91 5432109876,5.0,6:00 PM - 9:00 PM
Malaria,Dr. Rajesh Sharma,Endocrinologist,Manipal Hospital,15 years,+91 7654321098,5.0,9:00 AM - 12:00 PM
Chicken pox,Dr. Vikram Patel,Orthopedic,Apollo Hospital,15 years,+91 8765432109,5.0,4:00 PM - 7:00 PM
Chicken pox,Dr. Anjali Mehta,ENT Specialist,Apollo Hospital,25 years,+91 5432109876,4.5,8:00 AM - 11:00 AM
Chicken pox,Dr. Vikram Patel,Neurologist,Manipal Hospital,12 years,+91 8765432109,4.9,10:00 AM - 1:00 PM
Chicken pox,Dr. Neha Kapoor,Dermatologist,Apollo Hospital,10 years,+91 5432109876,4.0,9:00 AM - 12:00 PM
Chicken pox,Dr. Vikram Patel,Gastroenterologist,Medanta,25 years,+91 6543210987,5.0,8:00 AM - 11:00 AM
Chicken pox,Dr. Sunita Rao,Gastroenterologist,AIIMS Delhi,18 years,+91 5432109876,3.8,8:00 AM - 11:00 AM
Chicken pox,Dr. Ramesh Iyer,Dermatologist,Narayana Health,8 years,+91 4321098765,5.0,2:00 PM - 5:00 PM
Chicken pox,Dr. Rajesh Sharma,Orthopedic,Fortis Hospital,20 years,+91 8765432109,4.7,9:00 AM - 12:00 PM
Chicken pox,Dr. Vikram Patel,Gastroenterologist,Narayana Health,8 years,+91 2109876543,5.0,8:00 AM - 11:00 AM
Chicken pox,Dr. Vikram Patel,ENT Specialist,AIIMS Delhi,25 years,+91 3210987654,3.5,4:00 PM - 7:00 PM
Dengue,Dr. Anjali Mehta,Endocrinologist,Tata Memorial Hospital,20 years,+91 9876543210,5.0,8:00 AM - 11:00 AM
Dengue,Dr. Rajesh Sharma,Dermatologist,Manipal Hospital,5 years,+91 6543210987,4.0,6:00 PM - 9:00 PM
Dengue,Dr. Ramesh Iyer,Dermatologist,Manipal Hospital,18 years,+91 9876543210,4.7,6:00 PM - 9:00 PM
Dengue,Dr. Anjali Mehta,Cardiologist,Apollo Hospital,10 years,+91 5432109876,4.0,2:00 PM - 5:00 PM
Dengue,Dr. Anjali Mehta,General Physician,Medanta,5 years,+91 6543210987,4.5,4:00 PM - 7:00 PM
Dengue,Dr. Vikram Patel,Cardiologist,Medanta,8 years,+91 6543210987,5.0,8:00 AM - 11:00 AM
